 FirstName,LastName,University,Department,Education
 Neva,Hassanein,University of Montana,Environmental Studies,"Ph.D.,1997, Land Resources, Institute for Environmental Studies, University of Wisconsin - Madison"
 F. Richard,Hauer,University of Montana,Division of Biological SciencesSystems Ecology,"BS 1973 Michigan State University, Department of Fisheries and Wildlife.
MS 1975 Michigan State University, Department of Fisheries and Wildlife.
Ph.D. 1980 University of North Texas, Limnology and Stream Ecology."
 Jesse,Hay,University of Montana,Center for Biomolecular Structure and DynamicsDivision of Biological Sciences,"Ph.D. University of Wisconsin-Madison, 1994
Postdoctoral Training, Stanford University, 1994-1998"
 Sara,Hayden,University of Montana,Communication StudiesWomen's and Gender Studies,"Ph.D., University of Minnesota, 1994"
 Louis,Hayes,University of Montana,Political Science,"Ph.D., University of Arizona, 1966"
 Marc S.,Hendrix,University of Montana,Geosciences,"Ph.D. in Applied Earth Sciences, 1992, Stanford University"
 Joel,Henry,University of Montana,Computer Science,"After receiving a PhD in Computer Science from Virginia Tech, where he focused on quantitative software process improvement, Joel moved to academia."
 Frances,Hill,University of Montana,Psychology,N/A
 Walter,Hill,University of Montana,BiochemistryDivision of Biological Sciences,"B.S. Brigham Young University, 1961
M.S. University of Wisconsin, 1964
Ph.D. University of Wisconsin, 1967"
 Eric,Hines,University of Montana,Political Science,N/A
 Nancy W.,Hinman,University of Montana,Geosciences,"Scripps Institution of Oceanography, University of California San Diego - Ph.D. Oceanography (Marine Chemistry) 1987"
 James,Hirstein,University of Montana,Mathematical Sciences,N/A
 Helena,Hoas,University of Montana,Psychology,N/A
 William,Holben,University of Montana,Division of Biological SciencesSystems Ecology,"B.A. State University of New York at Fredonia, 1978
M.S. State University of New York at Buffalo, 1982
Ph.D. State University of New York at Buffalo, 1985"
 Dusten,Hollist,University of Montana,Sociology,PhD Washington State University (2003)
 Beth,Hubble,University of Montana,Liberal StudiesWomen's and Gender Studies,N/A
 Thomas,Huff,University of Montana,Philosophy,"Ph.D., Rice University"
 John,Hunt,University of Montana,EnglishIrish Studies,"Ph.D. in English, Stanford University, 1984."
 Khaled,Huthaily,University of Montana,Modern and Classical Languages and Literatures,N/A
 Richard,Hutto,University of Montana,Division of Biological Sciences,"B.A. University of California, Los Angeles, 1971
M.S. Northern Arizona University, 1973
Ph.D. University of California, Los Angeles, 1977"
 Donald W.,Hyndman,University of Montana,Geosciences,"Ph.D., University of California (Berkeley), 1964"
 Joel,Iverson,University of Montana,Communication StudiesGlobal Public Health,Ph.D 2003 Arizona State University
 Anya,Jabour,University of Montana,HistoryWomen's and Gender Studies,"PhD, Rice University, 1995
MA, Rice University, 1994
BA, Oberlin College, 1991"
 Yoonhee,Jang,University of Montana,Psychology,N/A
 Charles,Janson,University of Montana,Division of Biological SciencesSystems Ecology,N/A
 Paul,Janzen,University of Montana,Physics and Astronomy,N/A
 Kelsey,Jencso,University of Montana,Systems Ecology,N/A
 Jesse,Johnson,University of Montana,Computer Science,"2002 University of Maine, Orono PhD, Physics"
 Ralph,Judd,University of Montana,Division of Biological SciencesGlobal Public Health,"B.A. Whitman College, 1972
M.S. University of Montana, 1974
Ph.D. University of Montana, 1979"
 Stewart,Justman,University of Montana,Liberal Studies,N/A
 Leonid,Kalachev,University of Montana,Mathematical Sciences,"Ph.D., Moscow State University"
 Ulrich,Kamp,University of Montana,GeographySystems Ecology,N/A
 Kathleen,Kane,University of Montana,EnglishIrish Studies,"University of Texas, English Literature: Ethnic and Third World Concentration/Philosophy Sub-emphasis, Ph.D."
 Darshan S.,Kang,University of Montana,Geography,"Ph.D., University of Nebraska, 1975
M.A., University of Punjab, 1952
B.Sc. (Honors), University of Punjab, 1949"
 Michael,Kavanaugh,University of Montana,Center for Biomolecular Structure and Dynamics,"After completing undergraduate work in Biology at Washington University in St. Louis in 1982, Michael Kavanaugh received his Ph.D. in Biochemistry from OHSU in 1987. He pursued a postdoctoral fellowship at the Vollum Institute and joined the Vollum faculty in 1993. Kavanaugh joined The University of Montana in January 2003, and is the Director of the COBRE Center for Structural and Functional Neuroscience."
 Mark,Kayll,University of Montana,Mathematical Sciences,"B.Sc. in Mathematics and Statistics, Simon Fraser University, 1987
Ph.D. in Mathematics, Rutgers University, 1994"
 Derek,Kellenberg,University of Montana,Economics,"University of Colorado at Boulder, Ph.D."
 Jimmy,Kendall,University of Montana,English,N/A
 D. Garry,Kerr,University of Montana,Anthropology,N/A
 Ardeshir,Kia,University of Montana,Anthropology,N/A
 Mehrdad,Kia,University of Montana,History,"Ph.D., University of Wisconsin-Madison, 1986"
 Donald,Kiely,University of Montana,Chemistry & Biochemistry,N/A
 Ashby,Kinch,University of Montana,English,"University of Michigan, PhD, English (Specializations: Middle English Literature and critical theory)"
 Anna,Klene,University of Montana,GeographySystems Ecology,N/A
 Joanna,Klink,University of Montana,English,"M.F.A. Poetry, University of Iowa (1998), Ph.D. Humanities, Johns Hopkins University (2002)"
 Loey,Knapp,University of Montana,Geography,"Ph.D. in Geography, The University of Colorado at Boulder, 1994 
MBA in Finance and Information Systems, University of Wisconsin"
 Christopher J.,Knight,University of Montana,English,Ph.D. New York University
 Peter,Koehn,University of Montana,Global Public HealthInternational Development StudiesInternational Development StudiesPolitical Science,"Ph.D.: University of Colorado, 1973.
M.P.A.: Public Administration, University of colorado, Boulder, 1968.
B.A.:  Trinity College, Hartford, Conneticut, 1966"
 Lynne,Koester,University of Montana,Psychology,"Ph.D., The University of Wisconsin-Madison, 1976
M.S., The University of Wisconsin-Madison, 1974
B.A., Sarah Lawrence College, 1967"
 Mladen,Kozul,University of Montana,Modern and Classical Languages and Literatures,"2004 : Habilitation a diriger des recherches, Universite Paris IV  Sorbonne
1996 : Ph.D. in French Literature, Universite de Paris X  Nanterre
1990 : M.A. in French Literature, Zagreb University"
 Kathy J.,Kuipers,University of Montana,SociologyWomen's and Gender Studies,"Stanford University, MA, PhD."
 Rosalyn,La Pier,University of Montana,Environmental Studies,N/A
 Heather,Labbe,University of Montana,Division of Biological Sciences,N/A
 Adrien,Lacombe,University of Montana,Modern and Classical Languages and Literatures,N/A
 Richard,Lane,University of Montana,Mathematical Sciences,N/A
 Ian M.,Lange,University of Montana,Geosciences,"Dartmouth College B.A. 1962
Dartmouth College M.A. 1964
University of Washington Ph.D. 1968"
 N'Djekornom Dara,Laobeul,University of Montana,Mathematical Sciences,"Ph.D., University of Montana"
 Gregory,Larson,University of Montana,Communication Studies,"Dr. Greg Larson is currently an associate professor at the University of
Montana .  Greg received his Ph.D. from the University of Colorado-Boulder
in 2000 with a focus on organizational communication.  His research examines
the interrelated topics of occupational identity, control and resistance.
His current research examines  issues of identity among high-tech entrepreneurs in Montana. His research has been published  in several national and international journals. Greg teaches courses in organizational
communication, communication and technology, risk and crisis communication and conflict."
 Paul Gordon,Lauren,University of Montana,History,"Paul Gordon Lauren is Regents Professor Emeritus and Distinguished Mansfield Fellow.  He is the first person ever to be named as a Regents Professor at The University of Montana.  He is an internationally-recognized teacher and scholar on diplomacy, international relations, and human rights.  He served as the Founding Director of the Maureen and Mike Mansfield Center and as teh Mansfield Professor of Ethics and Public Affairs.  He earned his Ph.D. from Standford University where he also has served on the faculty on three separate occasions.  At the University of Montana he has received the Distinguished Scholar Award, the Most Inspirational Teacher Award, the Outstanding Faculty Advisor Award, the Distinguished Service to International Education Award, the Pantzer Award for Fostering a Humane Learning Environment, the Montana Professor of the Year Award by the Carnegie Foundation and the U.S. Council for teh Advancement and Support of Education, and the Governor's Humanities Award."
 Bradley,Layton,University of Montana,Biochemistry,N/A
 Soazig,Le Bihan,University of Montana,Philosophy,"Ph.D., University of Nancy/University of Bielefeld"
 Cindy,Leary,University of Montana,Mathematical Sciences,N/A
 Nathaniel,Levtow,University of Montana,Liberal StudiesReligious Studies,"Ph.D., Brown University; M.T.S., Harvard Divinity School; B.A., Middlebury College"
 Ken,Lockridge,University of Montana,History,N/A
 J. Stephen,Lodmell,University of Montana,BiochemistryCenter for Biomolecular Structure and DynamicsDivision of Biological Sciences,"B.S. Chemistry, University of Montana 1985
M.S. Biochemistry, University of Montana, 1991
Ph.D. Biology, Brown University, 1996"
 Clary,Loisel,University of Montana,Latin American StudiesModern and Classical Languages and LiteraturesWomen's and Gender Studies,Ph.D. University of Florida
 Amy,Lommen,University of Montana,Sociology,N/A
 James,Lopach,University of Montana,Political Science,"Ph.D., University of Notre Dame, 1973
 "
 Manolita,Lopez-Connor,University of Montana,Modern and Classical Languages and Literatures,N/A
 Winsor,Lowe,University of Montana,Division of Biological Sciences,"Postdoctoral Associate, Institute of Ecosystem Studies, February 2003 - April 2005.
Ph.D., Dartmouth College, Ecology and Evolutionary Biology, December 2002.
M.S., University of Montana, Organismal Biology and Ecology, 1997.
B.A., Middlebury College, Biology and Environmental Studies, cum laude, 1994."
 Henriette,Lowisch,University of Montana,Systems Ecology,N/A
 Gordon,Luikart,University of Montana,Division of Biological SciencesSystems Ecology," Ph.D., 1997, University of Montana, Organismal Biology and Ecology
 M.S., 1992, University of Montana, Zoology
 B.S., 1988, Iowa State University, General Biology with minor in Animal Ecology"
 Louis,Lutz,University of Montana,Mathematical Sciences,N/A
 David,Macaluso,University of Montana,Physics and Astronomy,"Ph.D. Physics, University of Nevada, 2010"
 Douglas,MacDonald,University of Montana,Anthropology,"1995-1998       Ph.D., Anthropology. Washington State University, Pullman"
 Greg,Machek,University of Montana,Psychology,"PhD Indiana University, 2004
BA Kenyon College, 1990"
 Melissa,MacKenzie,University of Montana,Modern and Classical Languages and Literatures,N/A
 Marco P.,Maneta,University of Montana,Geosciences,N/A
 Marton,Marko,University of Montana,Modern and Classical Languages and Literatures,"Ph.D. Germanic Languages and Literatures, Washington University in St. Louis"
 John,Maron,University of Montana,Division of Biological Sciences,"Ph.D. 1996, Ecology Graduate Group, University of California, Davis.
M.S. 1983, Department of Biology, University of North Dakota.
B.S. 1980, Renewable Resources, University of California, Davis."
 Michael,Mayer,University of Montana,History,"PhD, Princeton University, 1984"
 Nate,McCrady,University of Montana,Physics and Astronomy,"PhD Astrophysics, University of California Berkeley, 2005"
 Nicole,McCray,University of Montana,Psychology,"PhD, Developmental Psychology, the University of Montana, 2008"
 John,McCutcheon,University of Montana,Division of Biological Sciences,"Ph.D., Computational Biology, Washington University in St. Louis, 2006"
 Craig,McFarland,University of Montana,Psychology,"Clinical Fellow, Boston Consortium in Clinical Psychology, 2011-2013
Clinical Intern, Boston Consortium in Clinical Psychology, 2010-2011
PhD, University of Arizona, 2011
BA, Millersville University, 2004"
 Fred,McGlynn,University of Montana,Philosophy,N/A
 Michele,McGuirl,University of Montana,BiochemistryCenter for Biomolecular Structure and DynamicsDivision of Biological Sciences,"University of Massachusetts, B.S. Chemistry
Montana State University, Bozeman Ph.D. Biochemistry
California Institute of Technology NIH Postdoctoral Scholar"
 Kimber Haddix,McKay,University of Montana,AnthropologyGlobal Public HealthInternational Development StudiesInternational Development Studies,Ph.D. Anthropology 1998
 Ashley,McKeown,University of Montana,Anthropology,"University of Tennessee, Knoxville, Ph.D. in Anthropology, 2000"
 Kelly,McKinnie,University of Montana,Mathematical Sciences,"Ph.D., University of Texas at Austin"
 James,McKusick,University of Montana,English,"Ph.D. 1984, Yale University, English"
 Kevin,McManigal,University of Montana,Geography,N/A
 Deirdre,McNamer,University of Montana,English,N/A
 Jenny,McNulty,University of Montana,H&S Dean's OfficeMathematical Sciences,"Ph.D., University of North Carolina, Chapel Hill"
 George,McRae,University of Montana,Mathematical Sciences,"Ph.D., University of Washington"
 John,Means,University of Montana,Psychology,N/A
 Rustem S.,Medora,University of Montana,Global Public Health,"After completing undergraduate and masters work in Pharmacy at the University of Gujarat, India, Rustem Medora received his Ph.D. in Pharmaceutical Sciences, with specialty in pharmacognosy, from the University of Rhode Island. Upon completing his graduate studies, he pursued a postdoctoral fellowship in Biology at McGill University, Canada. His first faculty position was at Idaho State University, followed by his appointment at The University of Montana in 1967."
 Elizabeth Covelli,Metcalf,University of Montana,Systems Ecology,"Ph.D. Recreation, Parks and Tourism Management and Human Dimensions of Natural Resources and the Environment, The Pennsylvania State University, 2011"
 Scott,Miller,University of Montana,Division of Biological Sciences,N/A
 Michael,Minnick,University of Montana,Division of Biological Sciences,"B.S. Walla Walla College, 1982
M.S. Walla Walla College, 1984
Ph.D. Washington State University, 1987"
 Laurie A.,Minns,University of Montana,Division of Biological Sciences,"Dartmouth Medical School   Lebanon, NH, 2000-2005  Ph.D.    Microbiology and Immunology (Lloyd Kasper, MD)"
 CPT Tracy,Mitchell,University of Montana,Military Science,N/A
 Mizuki,Miyashita,University of Montana,AnthropologyLinguistics Program,"Dr. Mizuki Miyashita is an Associate Professor of Linguistics at the University of Montana. She earned a Ph.D. in Linguistics at the University of Arizona (2002). Her specialization is sound pattern analysis in Native American languages. Her dissertation concentrates on syllable analysis of Tohono Oodham (formerly known as Papago, an endangered indigenous language spoken in Southwestern Arizona and Northern Mexico). She has presented and published several articles in phonology and Native American languages. Her current research interest is Blackfoot phonology. Her research in Blackfoot aims to contribute both to linguistics research and language revitalization."
 Jakki,Mohr,University of Montana,Systems Ecology,N/A
 Jannine,Montauban,University of Montana,Latin American StudiesModern and Classical Languages and Literatures,"PhD in Spanish. Rutgers University; Medieval and Golden Age Literatures, Cervantes, Picaresque Novel"
 David L.,Moore,University of Montana,English,N/A
 Johnnie N.,Moore,University of Montana,Geosciences,"Ph.D. in Geology, 1976, University of California, Los Angeles"
 Scot,Moyer,University of Montana,Modern and Classical Languages and Literatures,N/A
 Paul,Muench,University of Montana,Philosophy,"Ph.D., University of Pittsburgh"
 Lois,Muir,University of Montana,Psychology,"Ph.D. State University of New York at Stony Brook, 1982
M.S. Auburn University, 1978
B.A. The University of Texas at Austin, 1974"
 Katrina,Mullan,University of Montana,Economics,"Katrina Mullan studies the impacts of forest conservation policies on the livelihoods of rural households, with a current focus on Brazil and China. She uses panel surveys and remote sensing data to conduct quantitative empirical analyses, and has published in journals such as the Review of Environmental Economics and Policy and World Development. Dr. Mullan joined the University of Montana in 2012 to teach courses in Environmental Economics, Econometrics and Microeconomics. She has a PhD in Environment and Development Economics from Cambridge University, and previously advised on environmental policy for the UK government and the European Environment Agency."
 Jesse,Munro,University of Montana,Political Science,N/A
 Michael,Murphy,University of Montana,Irish Studies,N/A
 Kevin,Murray,University of Montana,Division of Biological Sciences,N/A
 Raymond C.,Murray,University of Montana,Geosciences,N/A
 Christopher,Muste,University of Montana,Political Science,"Ph.D., University of California, Berkeley, 2001"
 Bradley,Naranch,University of Montana,History,"PhD, Johns Hopkins University, 2007
MA, Johns Hopkins University, 1998
BA, Williams College, 1996"
 Helen,Naughton,University of Montana,EconomicsSystems Ecology,She is also a faculty member of the Systems Ecology graduate program that offers M.S. and Ph.D. degrees.
 Cara,Nelson,University of Montana,Systems Ecology,"Ph.D. Forest Ecosystem Analysis. 2004. College of Forest Resources, University of Washington, Seattle, Washington."
 Phyllis,Ngai,University of Montana,Communication StudiesInternational Development StudiesInternational Development Studies,N/A
 Lindsey,Nichols,University of Montana,International Development Studies,N/A
 Kelly,Noe,University of Montana,Latin American StudiesModern and Classical Languages and Literatures,N/A
 Curtis,Noonan,University of Montana,International Development Studies,"Curtis Noonan received his Ph.D. in Environmental Health with a specialization in Epidemiology from Colorado State University in 2000. He is also a graduate of the University of California at Berkeley (B.A., 1989) and the George Washington University (M.A., 1995). After receiving his Ph.D., Curtis worked as an epidemiologist at the Agency for Toxic Substances and Disease Registry in Atlanta. In 2004, he was hired as Assistant Professor for Epidemiology in the Department of Biomedical and Pharmaceutical Sciences and the Department of Pharmacy Practice."
 Jack,Nunberg,University of Montana,Division of Biological Sciences,"A.B. Cornell University, 1972
Ph.D. Stanford University, 1979"
 Sean,O'Brien,University of Montana,EnglishIrish Studies,"I received my Ph.D. in philosophy,  and discovered early in my academic career that philosophy and film make great bedfellows.  Since then, I have drawn from the best of both arenas in structuring my philosophy and film studies courses.  I rely on philosophers to help students understand the great films, and use film to help illustrate great works in philosophy.   My production courses also have a strong philosophic bent, as it is often important for students to develop or discover the philosophic principles that undergird their dramas and documentaries."
 Mike,O'Conner,University of Montana,Computer Science,N/A
 Gerald,Olbu,University of Montana,Chemistry & Biochemistry,N/A
 Michael,Olear,University of Montana,Mathematical Sciences,N/A
 Michael,Olsen,University of Montana,Modern and Classical Languages and Literatures,"Ph.D., Hispanic Linguistics, University of Pittsburgh"
 Traolach,O'Riordain,University of Montana,EnglishIrish Studies,N/A
 Christopher,Palmer,University of Montana,Chemistry & Biochemistry,"Chris Palmer received his Ph.D. in Analytical Chemistry from the University of Arizona in 1991. He carried out postdoctoral research at Virginia Polytechnic Institute and State University from 1991 to 1992, at Unilever Research Laboratory in The Netherlands from 1993 to 1994, and at Himeji Institute of Technology in Japan from 1994 to 1995. He was Assistant Professor of Chemistry at New Mexico Insitute of Mining and Technology from 1995 to 1999 and Associate Professor from 1999-2001. Chris joined UM in 2001. He spent a year as Honorary Research Associate at the Australian Centre for Research on Separation Science (ACROSS) at the University of Tasmania in Hobart, Tasmania, Australia.  Chris is an analytical chemist specializing in the development of novel polymeric materials for application in microscale liquid phase separations and in the application of separations methods to environmental analysis."
 Cory,Palmer,University of Montana,Mathematical Sciences,"Ph.D., Central European University"
 Caleb,Pan,University of Montana,Geography,N/A
 Gregory,Pape,University of Montana,English,N/A
 Caroline,Patterson,University of Montana,English,N/A
 David,Patterson,University of Montana,Mathematical Sciences,"Ph.D., University of Iowa, 1985"
 Jody,Pavilack,University of Montana,HistoryLatin American Studies,"PhD, Duke University, 2003"
 Patrick,Peel,University of Montana,Political Science,N/A
 Thomas M.,Power,University of Montana,Economics,"
Professor Power received his undergraduate degree in Physics from Lehigh University and his MA and PhD in Economics from Princeton University. He is the author of six books, two dozen book chapters, and numerous articles and reports in the field of Natural Resource and Regional Economics and the relationship between those two fields. He has regularly testified before state and federal regulatory agencies and is a commentator on Montana Public Radio and in the regional and national press."
 Anna,Prentiss,University of Montana,Anthropology,"Ph.D. Archaeology, Simon Fraser University"
 Christopher,Preston,University of Montana,Philosophy,"Ph.D., University of Oregon (1998)"
 George,Price,University of Montana,HistoryNative American Studies,N/A
 Nigel,Priestley,University of Montana,Chemistry & Biochemistry,"Nigel Priestley came to the University of Montana in 1999 from the Ohio State University.  He earned his Ph.D. from The University of Southampton, UK in 1991.  While at Ohio State University he was an Assistant Professor in the Division of Medicinal Chemistry and Pharmacognosy."
 Liz,Putnam,University of Montana,Global Public Health,"Elizabeth Putnam is Associate Professor of Molecular Genetics and Toxicology at the University of Montana. She currently serves as Interim Dean of the Davidson Honors College. After completing undergraduate work in Biochemistry at Rutgers College in New Brunswick, NJ, Elizabeth Putnam earned a Ph.D. in Biomedical Sciences from the University of Texas Graduate School of Biomedical Sciences in Houston. Following postdoctoral fellowships at M.D. Anderson Cancer Center and the University of Texas Medical School, she moved to the University of Montana in 2000. She is currently a tenured Associate Professor."
 CPT Kris,Pyette,University of Montana,Military Science,N/A
 Gilbert,Quintero,University of Montana,AnthropologyGlobal Public Health,"University of Arizona, Tucson, Arizona
Ph.D. Cultural Anthropology, 1997"
 Judith N,Rabinovitch,University of Montana,Modern and Classical Languages and Literatures,"B.A., University of Washington, in Far Eastern Languages and Literatures; M.A., Ph.D., Harvard University, in East Asian Languages and Civilizations"
 Douglas,Raiford,University of Montana,BiochemistryComputer ScienceSystems Ecology,N/A
 Sara,Rasch,University of Montana,Sociology,N/A
 Amy,Ratto Parks,University of Montana,English,N/A
 Christiane von,Reichert,University of Montana,Geography,N/A
 Eric,Reimer,University of Montana,EnglishIrish Studies,"Ph.D. English Literature, University of Oregon (2002)."
 Yolanda,Reimer,University of Montana,Computer Science,"University of Oregon, 2001, PhD in Computer and Information Science"
 Daniel,Reisenfeld,University of Montana,Physics and Astronomy,"PhD in Astronomy, Harvard University, 1998"
 Ona,Renner-Fahey,University of Montana,Modern and Classical Languages and Literatures,"Ph.D., The Ohio State University, 2002"
 Rebecca,Richards,University of Montana,Sociology,N/A
 Sara,Rinfret,University of Montana,Political Science,"Sara Rinfret is an assistant professor of political science at the University of Montana, Missoula where she teaches courses at the undergraduate and graduate level on regulatory policy, environmental policy, public policy, public administration, and American politics. Her main area of research is focused on environmental regulations. More specifically, she is interested in the interactions between agencies and interest groups during the stages of environmental rulemaking at the federal and state level. To date, her work has been published in Society and Natural Resources, Environmental Politics, Review of Policy Research, Journal of Environmental Studies and Sciences, PS: Political Science and Politics, and the Oxford Handbook of U.S. Environmental Policy. Most recently, she co-authored The Lilliputians of Environmental Regulation: The Perspective of State Regulators with Michelle Pautz. Also, Winter 2015 her environmental policy textbook, U.S. Environmental Policy: A Practical Approach to Understanding Implementation will be released in paperback with Palgrave (also co-written with Michelle Pautz)  She holds a Ph.D. in political science from Northern Arizona University."
 Jennifer,Robohm,University of Montana,Psychology,Ph.D. from University of Michigan (Ann Arbor)
 Daisy,Rooks,University of Montana,SociologyWomen's and Gender Studies,N/A
 Matthew,Roscoe,University of Montana,Mathematical Sciences,"Ph.D., University of Montana"
 Stanley,Rose,University of Montana,Modern and Classical Languages and Literatures,"Ph.D. University of Wisconsin, Madison (Romance Philology, Portuguese)"
 Edward,Rosenberg,University of Montana,Center for Biomolecular Structure and DynamicsChemistry & Biochemistry,"Edward Rosenberg came to UM in August of 1993 from California State University, Northridge. He earned his Ph.D. from Cornell University in 1970 under the supervision of Professor J.J. Zuckerman. He carried out postdoctoral research under the directorship of Dr. E.W. Randall at Queen Mary College of the University of London and at the California Institute of Technology under the directorship of Professor J.D. Roberts. He has been Visiting Scientist at the University of Turin in Italy since 1974. Edward Rosenberg is an inorganic chemist with strong interests in organometallic compounds with biological activity and in the development of advanced materials for metal ion separations and recovery from acid mine leaches and drainages and industrial waste streams. He teaches undergraduate and graduate courses in inorganic and organometallic chemistry.  He also teaches field oriented course entitled ""Industrial Chemistry and its Impact on Society."
 Frank,Rosenzweig,University of Montana,Division of Biological Sciences,"Ph.D., University of Pennsylvania (Biology); B.A., University of Tennessee (Comparative Literature)"
 J.B. Alexander (Sandy),Ross,University of Montana,BiochemistryCenter for Biomolecular Structure and DynamicsChemistry & Biochemistry,"Sandy earned his Ph.D. at the University of Washington in 1976 under the joint supervision of D.A. Deranleau and D.C. Teller. He carried out postdoctoral research under the direction of A.L. Kwiram at the University of Washington, L. Brand at The Johns Hopkins University, and P.H. Petra at the University of Washington. He has been a Visiting Professor at the University of Parma, Italy, and a Visiting Scientist at the National Synchrotron Light Source at Brookhaven National Laboratory."
 Tom,Roy,University of Montana,Environmental Studies,N/A
 Steve,Running,University of Montana,Systems Ecology,Ph.D. Forest Ecophysiology; Colorado State University 1979
 Brent,Ryckman,University of Montana,BiochemistryDivision of Biological Sciences,"2003                     Ph.D.  University of Iowa, Iowa City, IA"
 Robin,Saha,University of Montana,Environmental Studies,"Ph.D., Environmental Policy and Behavior, School of Natural Resources and Environment (SNRE), University of Michigan, Ann Arbor, 2002."
 Anna,Sala,University of Montana,Division of Biological Sciences,"B.S. University of Barcelona (Spain), 1984
Ph.D. University of Barcelona (Spain), 1992"
 Erin,Saldin,University of Montana,English,N/A
 Robert,Saldin,University of Montana,Political Science,"I am an Associate Professor of Political Science, the Director of the Project on American Democracy and Citizenship, and a Fellow in Ethics and Public Affairs at the Mansfield Center. I write and teach about American government, political development, and public policy. My first book was War, the American State, and Politics since 1898 (Cambridge University Press, 2011; paperback, 2013), and my scholarly articles have appeared in outlets such as The Journal of Politics, the Journal of Policy History, and Political Research Quarterly. From 2010-2012, I was on leave at Harvard University as a Robert Wood Johnson Scholar in Health Policy Research. Previously, I was the Patrick Henry Scholar at Johns Hopkins University, a Fellow at the Miller Center of Public Affairs, and a Visiting Scholar at the University of California, Berkeley's Institute of Governmental Studies. I received my Ph.D. from the University of Virginia."
 Leah,Samberg,University of Montana,Geography,N/A
 D. Scott,Samuels,University of Montana,BiochemistryDivision of Biological Sciences,"Ph.D. University of Arizona, 1991"
 Richard,Sattler,University of Montana,Anthropology,"Ph.D.  Anthropology, University of Oklahoma"
 Joyce,Schlieter,University of Montana,Mathematical Sciences,N/A
 David,Schuldberg,University of Montana,Psychology,"I do not plan on accepting a graduate student for the clinical Ph.D. program under my mentorship to begin in Fall, 2015. "
 Steve,Schwarze,University of Montana,Communication Studies,N/A
 James,Scott,University of Montana,Modern and Classical Languages and Literatures,"Having grown up in the Chicago area and later in the Upper Peninsula of Michigan near the shores of Lake Superior, I traveled west to the mountains in search of more cold and snow, which I didn't find. Nevertheless, I have made my family and career in this lovely state. After 10 years of high school teaching, I finished my PhD in Classics, and, Deo gratias, found an adjunct professorship at The University of Montana. Twenty-six years later and a tenured professor,  I am  retired. My wife and I have in Bigfork (MT) a small hobby farm, populated by horses, sheep, donkeys, walk-on cats, and our dogs. Life and work have been a wonderful blessing here in Missoula. I am teaching autumn, 2010, on a post-retirement contract."
 James W.,Sears,University of Montana,Geosciences,"I recieved my PhD from Queen's University, Canada, in 1979, and have taught at the University of Montana since 1982. I research the structure and tectonics of the Rocky Mountain region."
 Tom,Seekins,University of Montana,Psychology,"Ph.D., University of Kansas, 1983
M.A., University of Kansas, 1981
B.A., University of Montana, 1973"
 Matthew,Semanoff,University of Montana,Modern and Classical Languages and Literatures,"Ph.D., University of Wisconsin  Madison, 2002, Classics
Dissertation:  Pedagogical Poetry:  Teachers and Students in Didactic Verse
Director:  P. A. Rosenmeyer
 "
 Michael,Severino,University of Montana,Mathematical Sciences,"Ph.D., University of Montana"
 Kathryn,Shanley,University of Montana,Native American Studies,"
Ph.D. English Literature and Language, emphasis in Native American Literature, University of Michigan, Ann Arbor (1987)"
 Prageeta,Sharma,University of Montana,Creative WritingEnglish,N/A
 Tobin Miller,Shearer,University of Montana,HistoryWomen's and Gender Studies,I hold a dual PhD in History and Religious Studies from Northwestern University (2008).
 Cassandra,Sheets,University of Montana,Sociology,N/A
 Steven D.,Sheriff,University of Montana,Geosciences,"Ph.D., University of Wyoming 1981. Geology/Geophysics
M.S., Western Washington University 1976. Geology/Geophysics
B.A., Central Washington University 1973. Geology with distinction"
 David,Sherman,University of Montana,Philosophy,"Ph.D., University of Texas at Austin"
 David,Shively,University of Montana,Geography,N/A
 Ranjan,Shrestha,University of Montana,EconomicsGlobal Public HealthInternational Development StudiesInternational Development Studies,"Ranjan Shrestha is a development economist whose research focuses on health and development policies, especially in Indonesia. He joined the University of Montana in 2007 after completing his PhD from the Ohio State University. He teaches principles and intermediate macroeconomics, health economics, labor economics, and advanced development economics. "
 Stephen F.,Siebert,University of Montana,International Development StudiesInternational Development Studies,"Ph.D. Cornell University. 1990. Natural Resources (minors: Agronomy, International
Agriculture, Southeast Asian Studies)"
 Alan,Sillars,University of Montana,Communication Studies,"Ph.D., University of Wisconsin, 1980
M.A., University of Wisconsin, 1977
B.A., Humboldt State University, 1974"
 Paul,Silverman,University of Montana,Psychology,"Ph.D., The University of Georgia, 1977, Developmental Psychology. "
 Diana,Six,University of Montana,Systems Ecology,"A.S. Microbiology: 1986, Chaffey College, Alta Loma, CA High Honors
B.S. Agricultural Biology: 1990, California State Polytechnic University, Pomona, Magna cum laude
M.S. Entomology: 1992, University of California, Riverside
Ph.D. Entomology: 1997, University of California, Riverside Minor: Mycology
Postdoctoral Researcher: 1997. University of California, Berkeley"
 Randall,Skelton,University of Montana,Anthropology,"University of California, Davis      1979-1983      PhD in Anthropology"
 Frederick,Skinner,University of Montana,History,N/A
 Deborah,Slicer,University of Montana,Philosophy,"Ph.D., University of Virginia; M.F.A., University of Virginia"
 Josh,Slotnick,University of Montana,Environmental Studies,N/A
 Valeriy,Smirnov,University of Montana,BiochemistryChemistry & Biochemistry,Ph.D. (2004)  University of Nebraska-Lincoln
