First_Name,Last_Name,University,Department,Education,Student
 Frank,Rosenzweig,University of Montana,Division of Biological Sciences,Ph.D. University of Pennsylvania (Biology); B.A. University of Tennessee (Comparative Literature),Xinyu Zheng
 J.B. Alexander (Sandy),Ross,University of Montana,BiochemistryCenter for Biomolecular Structure and DynamicsChemistry & Biochemistry,Sandy earned his Ph.D. at the University of Washington in 1976 under the joint supervision of D.A. Deranleau and D.C. Teller. He carried out postdoctoral research under the direct,Xinyu Zheng
 Steve,Running,University of Montana,Systems Ecology,Ph.D. Forest Ecophysiology; Colorado State University 1979,Xinyu Zheng
 Brent,Ryckman,University of Montana,BiochemistryDivision of Biological Sciences,2003                     Ph.D.  University of Iowa Iowa City IA,Xinyu Zheng
 Robin,Saha,University of Montana,Environmental Studies,Ph.D. Environmental Policy and Behavior School of Natural Resources and Environment (SNRE) University of Michigan Ann Arbor 2002.,Xinyu Zheng
 Anna,Sala,University of Montana,Division of Biological Sciences,Ph.D. University of Barcelona (Spain) 1992,Xinyu Zheng
 Robert,Saldin,University of Montana,Political Science,I am an Associate Professor of Political Science the Director of the Project on American Democracy and Citizenship and a Fellow in Ethics and Public Affairs at the Mansfield Cen,Xinyu Zheng
 D. Scott,Samuels,University of Montana,BiochemistryDivision of Biological Sciences,Ph.D. University of Arizona 1991,Xinyu Zheng
 Richard,Sattler,University of Montana,Anthropology,Ph.D.  Anthropology University of Oklahoma,Xinyu Zheng
 David,Schuldberg,University of Montana,Psychology,I do not plan on accepting a graduate student for the clinical Ph.D. program under my mentorship to begin in Fall 2015. ,Xinyu Zheng
 James,Scott,University of Montana,Modern and Classical Languages and Literatures,Having grown up in the Chicago area and later in the Upper Peninsula of Michigan near the shores of Lake Superior I traveled west to the mountains in search of more cold and snow,Xinyu Zheng
 James W.,Sears,University of Montana,Geosciences,I recieved my PhD from Queen's University Canada in 1979 and have taught at the University of Montana since 1982. I research the structure and tectonics of the Rocky Mountain r,Xinyu Zheng
 Tom,Seekins,University of Montana,Psychology,Ph.D. University of Kansas 1983,Xinyu Zheng
 Matthew,Semanoff,University of Montana,Modern and Classical Languages and Literatures,Ph.D. University of Wisconsin  Madison 2002 Classics,Xinyu Zheng
 Michael,Severino,University of Montana,Mathematical Sciences,Ph.D. University of Montana,Xinyu Zheng
 Kathryn,Shanley,University of Montana,Native American Studies,Ph.D. English Literature and Language emphasis in Native American Literature University of Michigan Ann Arbor (1987),Xinyu Zheng
 Tobin Miller,Shearer,University of Montana,HistoryWomen's and Gender Studies,I hold a dual PhD in History and Religious Studies from Northwestern University (2008).,Xinyu Zheng
 Steven D.,Sheriff,University of Montana,Geosciences,Ph.D. University of Wyoming 1981. Geology/Geophysics,Xinyu Zheng
 David,Sherman,University of Montana,Philosophy,Ph.D. University of Texas at Austin,Xinyu Zheng
 Ranjan,Shrestha,University of Montana,EconomicsGlobal Public HealthInternational Development StudiesInternational Development Studies,Ranjan Shrestha is a development economist whose research focuses on health and development policies especially in Indonesia. He joined the University of Montana in 2007 after co,Xinyu Zheng
 Stephen F.,Siebert,University of Montana,International Development StudiesInternational Development Studies,Ph.D. Cornell University. 1990. Natural Resources (minors: Agronomy International,Xinyu Zheng
 Alan,Sillars,University of Montana,Communication Studies,Ph.D. University of Wisconsin 1980,Xinyu Zheng
 Paul,Silverman,University of Montana,Psychology,Ph.D. The University of Georgia 1977 Developmental Psychology. ,Xinyu Zheng
 Diana,Six,University of Montana,Systems Ecology,Ph.D. Entomology: 1997 University of California Riverside Minor: Mycology,Xinyu Zheng
 Randall,Skelton,University of Montana,Anthropology,University of California Davis      1979-1983      PhD in Anthropology,Xinyu Zheng
 Deborah,Slicer,University of Montana,Philosophy,Ph.D. University of Virginia; M.F.A. University of Virginia,Xinyu Zheng
 Valeriy,Smirnov,University of Montana,BiochemistryChemistry & Biochemistry,Ph.D. (2004)  University of Nebraska-Lincoln,Xinyu Zheng
 Garon,Smith,University of Montana,Chemistry & Biochemistry,Garon Smith came to UM in 1991 from State University of New York College at Fredonia. He received his Ph.D. degree in 1983 from the Colorado School of Mines and taught at Colorado,Xinyu Zheng
 Teresa,Sobieszczyk,University of Montana,Global Public HealthInternational Development StudiesSociologyWomen's and Gender Studies,Ph.D. Development Sociology Cornell University,Xinyu Zheng
 Regina,Souza,University of Montana,Mathematical Sciences,Ph.D. MIT,Xinyu Zheng
 Dan,Spencer,University of Montana,Environmental StudiesInternational Development StudiesLatin American Studies,Ph.D. Environmental Ethics Union Theological Seminary New York,Xinyu Zheng
 Stephen,Sprang,University of Montana,BiochemistryCenter for Biomolecular Structure and DynamicsDivision of Biological Sciences,Ph.D. in Biochemistry from the University of Wisconsin Madison in 1977,Xinyu Zheng
 Bharath,Sriraman,University of Montana,Mathematical Sciences,Ph.D in Mathematical Sciences Northern Illinois University May 2002.,Xinyu Zheng
 Gregory,St. George,University of Montana,Mathematical Sciences,Ph.D. University of Montana,Xinyu Zheng
 Jack,Stanford,University of Montana,Division of Biological SciencesSystems Ecology,Ph.D. (Limnology): University of Utah -1975,Xinyu Zheng
 George,Stanley,University of Montana,Geosciences,PhD The University of Kansas,Xinyu Zheng
 Brian,Steele,University of Montana,Mathematical Sciences,Ph.D Mathematics  University of Montana  1995. M.S. Statistics  Oregon State University  1987 B.S. Natural Resources Cornell University 1978.,Xinyu Zheng
 Emily,Stone,University of Montana,Mathematical Sciences,Ph.D. Cornell University,Xinyu Zheng
 Karel,Stroethoff,University of Montana,Mathematical Sciences,Ph.D. Michigan State University,Xinyu Zheng
 Matthew,Strohl,University of Montana,Philosophy,Ph.D. Princeton University,Xinyu Zheng
 Kent,Sugden,University of Montana,BiochemistryChemistry & Biochemistry,"	Kent received his Ph.D. in chemistry from Montana State University in 1992. He was an NIH postdoctoral research fellow at Dartmouth College from 1993-95 a research associate at ",Xinyu Zheng
 Gyda,Swaney,University of Montana,Psychology,PhD The University of Montana 1997,Xinyu Zheng
 Allen,Szalda-Petree,University of Montana,Psychology,Ph.D. The University of Montana-Missoula 1990,Xinyu Zheng
 Matthew,Taylor,University of Montana,Economics,Matt joined the Economics Department at the University of Montana in 2012. He earned his PhD in Economics from the University of Oregon. Prior to entering the UO's PhD program he,Xinyu Zheng
 Aaron,Thomas,University of Montana,Chemistry & Biochemistry,Ph.D. Chemical Engineering 2001 University of Florida.,Xinyu Zheng
 Graham R.,Thompson,University of Montana,Geosciences,Ph.D. Case Western Reserve University l97l Geochemistry/Clay Mineralogy/Petrology,Xinyu Zheng
 Holly,Thompson,University of Montana,Chemistry & Biochemistry,Holly Thompson earned her Ph.D. in the laboratory of Brian S. Spooner at Kansas State University in 1982. She was an NIH Postdoctoral Fellow with Vincent Hascall in the Laboratory,Xinyu Zheng
 Bret,Tobalske,University of Montana,Division of Biological Sciences,Ph.D. (1994) University of Montana Organismal Biology and Ecology,Xinyu Zheng
 Jon,Tompkins,University of Montana,Political Science,Ph.D. University of Washington 1981,Xinyu Zheng
 Thomas,Tonev,University of Montana,Mathematical Sciences,Ph.D. Moscow State University - Lomonosov Russia,Xinyu Zheng
 Robert,Tuck,University of Montana,Modern and Classical Languages and Literatures,Ph.D. Modern Japanese Literature Columbia University (2012),Xinyu Zheng
 Eijiro,Uchimoto,University of Montana,Physics and Astronomy,Ph.D. Physics University of Wisconsin-Madison 1988,Xinyu Zheng
 Kay,Unger,University of Montana,Economics,Ph.D. Economics Johns Hopkins University 1974,Xinyu Zheng
 Ruth,Vanita,University of Montana,Liberal Studies,Ph.D. Delhi University India,Xinyu Zheng
 Kyle G.,Volk,University of Montana,History,Professor Volk advises graduate students studying aspects of nineteenth- and twentieth-century U.S. History that dovetail with his own broad historical interests. His current and ,Xinyu Zheng
 Nikolaus,Vonessen,University of Montana,Mathematical Sciences,Ph.D. in Mathematics Massachusetts Institute of Technology 1988,Xinyu Zheng
 Ekaterina,Voronina,University of Montana,BiochemistryDivision of Biological SciencesDivision of Biological Sciences,Brown University Providence RI; Ph.D.,Xinyu Zheng
 Edward,Waali,University of Montana,Chemistry & Biochemistry,Ph.D. in Organic Chemistry University of Wyoming 1970 (with Professor Sara Jane Rhoads).,Xinyu Zheng
 Arlene,Walker-Andrews,University of Montana,Psychology,Ph.D. Cornell University 1980,Xinyu Zheng
 Jennifer,Waltz,University of Montana,Psychology,Ph.D. University of Washington (1993),Xinyu Zheng
 Andrew,Ware,University of Montana,Physics and Astronomy,University of California at San Diego PhD in Physics 1992,Xinyu Zheng
 Vicki,Watson,University of Montana,Environmental StudiesSystems Ecology,Born on a small family farm in the vanishing Texas blackland prairie I grew up watching my parents struggle to protect the small creek that ran through the back of our farm from ,Xinyu Zheng
 Terry,Weidner,University of Montana,Political Science,Ph.D. in Chinese History from the University of California Davis,Xinyu Zheng
 G.G.,Weix,University of Montana,Anthropology,1990 Ph.D. Anthropology Cornell University,Xinyu Zheng
 Scott,Wetzel,University of Montana,Division of Biological Sciences,Ph.D. Oregon Health & Science University Portland OR 2001,Xinyu Zheng
 Travis,Wheeler,University of Montana,Computer Science,The lab has open positions for motivated postdocs and students at all levels (PhD Masters Undergrad). Please drop me a line if you'd like to discuss possibilities.,Xinyu Zheng
 Andrew C.,Wilcox,University of Montana,Geosciences,Ph.D. Geosciences Colorado State University 2005,Xinyu Zheng
 Jeff,Wiltse,University of Montana,History,Ph.D. Brandeis University 2002,Xinyu Zheng
 Celia,Winkler,University of Montana,SociologyWomen's and Gender Studies,Ph.D. Sociology University of Oregon 1996,Xinyu Zheng
 Donald,Winston,University of Montana,Geosciences,Ph.D. University of Texas 1963,Xinyu Zheng
 Art,Woods,University of Montana,Division of Biological Sciences,PhD Zoology University of Washington (1998),Xinyu Zheng
 Ke,Wu,University of Montana,Mathematical Sciences,Ph.D.University of Minnesota,Xinyu Zheng
 Stephen,Yoshimura,University of Montana,Communication Studies,Arizona State University (Ph.D. 2002),Xinyu Zheng
